INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,DAY_OF_WEEK,HOUR,Lat,Long
242023700,,SUDDEN DEATH,B2,Saturday ,20,42.33478089826176,-71.1094776973673
242023736,,ROBBERY,D4,Sunday   ,0,42.34750798651949,-71.0915320044905
242024300,,LARCENY SHOPLIFTING,,Monday   ,19,42.253329785055165,-71.12467151894641
242024579,,VERBAL DISPUTE,C11,Tuesday  ,21,42.3098322844905,-71.06817321686448
242024479,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,Friday   ,20,42.287093552591074,-71.14822128377165
242024282,,THREATS TO DO BODILY HARM,A7,Sunday   ,0,42.381325051436406,-71.02804009577999
242024313,,VIOLATION - CITY ORDINANCE,A1,Monday   ,20,42.35074197291232,-71.06006134581432
242023959,,LARCENY SHOPLIFTING,A1,Sunday   ,20,42.35272947428533,-71.06256290848422
242024563,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,Tuesday  ,0,42.28482576580487,-71.09137368938802
242024395,,VANDALISM,C11,Monday   ,22,42.27504456080728,-71.0673130963161
242023955,,DEATH INVESTIGATION,D4,Sunday   ,19,42.34854635647916,-71.07416608803729
242024306,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,Monday   ,20,42.309718567672725,-71.10429431787648
242024584,,VAL - VIOLATION OF AUTO LAW,A7,Tuesday  ,21,42.37330098125495,-71.03904900374438
242024301,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,Monday   ,20,42.33266000263502,-71.07207998023907
242024251,,VIOLATION - CITY ORDINANCE,B2,Monday   ,18,42.3296490108396,-71.08458498185142
232052629,,ASSAULT - SIMPLE,B2,Tuesday  ,19,42.31162834253698,-71.08094293912549
232052669,,HARASSMENT/ CRIMINAL HARASSMENT,A15,Wednesday,0,42.37932086863865,-71.05914439640084
232052631,,INVESTIGATE PROPERTY,C11,Tuesday  ,21,42.306451482725,-71.07730382339871
232052604,,BURGLARY - COMMERICAL,E18,Tuesday  ,18,42.24260010489526,-71.1303502233945
232052955,,THREATS TO DO BODILY HARM,C11,Wednesday,20,42.306093561620855,-71.06718569960978
232019952,,VANDALISM,D4,Tuesday  ,0,42.33954198983015,-71.06940876967543
232052969,,VAL - VIOLATION OF AUTO LAW,B3,Wednesday,21,42.29136497276135,-71.07434997537909
232052923,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,Wednesday,0,42.34128750439044,-71.05467932649397
232052940,,LARCENY THEFT OF BICYCLE,D4,Wednesday,19,42.34926803347655,-71.07693497517026
232054120,,ASSAULT - SIMPLE,B2,Sunday   ,21,42.3098559954987,-71.09215300768656
232054127,,THREATS TO DO BODILY HARM,B2,Sunday   ,22,42.31696649906327,-71.08254057648374
232054109,,VERBAL DISPUTE,B3,Sunday   ,19,42.27791927282371,-71.09640609924689
232054163,,SICK ASSIST,E13,Monday   ,2,42.32547536354746,-71.10253481939563
232054174,,SICK/INJURED/MEDICAL - POLICE,A1,Monday   ,1,42.35230243607954,-71.06133346052262
232054434,,INVESTIGATE PERSON,E13,Monday   ,21,42.30536761654362,-71.1157150004018
232046327,,INVESTIGATE PERSON,D4,Tuesday  ,2,42.33954198983015,-71.06940876967543
232046913,,FRAUD - WIRE,D14,Thursday ,1,42.350073117560605,-71.14108202379664
252097114,,"MURDER, NON-NEGLIGENT MANSLAUGHTER",B3,Saturday ,19,42.27094650965154,-71.09193625662024
